id,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,14 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,14 Day Advertised ASIN Units (#),14 Day Brand Halo ASIN Units (#),14 Day Advertised ASIN Sales ,14 Day Brand Halo ASIN Sales 
6380,2025-09-02,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cxxxc79h,1,1,1.0,2.04,2.04,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6381,2025-09-01,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cy9cjdmx,1,1,1.0,2.13,2.13,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6382,2025-08-31,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cy9d6wp1,26,1,0.03846154,2.5,2.5,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6383,2025-09-02,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cy9d6wp1,23,2,0.08695652,2.425,4.85,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6384,2025-09-05,LOTUS SEEDS,INR,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,substitutes,-,b0cy9d6wp1,14,1,0.07142857,3.95,3.95,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6385,2025-08-31,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,substitutes,-,b0cy9qb893,4,1,0.25,2.37,2.37,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6386,2025-08-30,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0cyljr6z6,1,1,1.0,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6387,2025-09-05,LOTUS SEEDS,INR,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,substitutes,-,b0cyqhh14z,2,1,0.5,3.57,3.57,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6388,2025-09-02,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cytd8w8z,1,1,1.0,1.67,1.67,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6389,2025-08-30,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cyxyrm78,48,1,0.02083333,2.5,2.5,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6390,2025-09-03,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cyxyrm78,53,1,0.01886792,2.45,2.45,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6391,2025-09-04,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cyxyrm78,20,1,0.05,2.42,2.42,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6392,2025-08-31,No Portfolio,INR,Spider Plant NEW - SP Auto - SP-RCH1,Spider NEW - SP Auto,complements,-,b0cz6t9152,174,1,0.00574713,4.12,4.12,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6393,2025-09-03,No Portfolio,INR,Spider Plant NEW - SP Auto - SP-RCH1,Spider NEW - SP Auto,complements,-,b0cz6t9152,286,4,0.01398601,4.5275,18.11,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6394,2025-08-30,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,842,7,0.00831354,2.58571428571429,18.1,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6395,2025-08-31,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,1163,18,0.01547721,2.47833333333333,44.61,392.0,0.113801,8.78726742882762,1,1,0.05555556,0,1,0.0,392.0
6396,2025-09-01,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,905,12,0.01325967,2.58916666666667,31.07,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6397,2025-09-02,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,complements,-,b0cz6t9152,902,6,0.00665188,2.42833333333333,14.57,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6398,2025-09-03,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,930,11,0.01182796,2.54545454545455,28.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6399,2025-09-04,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,1245,9,0.00722892,2.59777777777778,23.38,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6400,2025-09-05,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cz6t9152,842,11,0.01306413,2.49545454545455,27.45,286.0,0.09597902,10.4189435336976,1,1,0.09090909,1,0,286.0,0.0
6401,2025-09-01,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,complements,-,b0cz6t9152,51,1,0.01960784,2.99,2.99,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6402,2025-09-02,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,complements,-,b0cz6t9152,73,2,0.02739726,2.85,5.7,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6403,2025-09-03,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,complements,-,b0cz6t9152,69,4,0.05797101,2.85,11.4,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6404,2025-09-04,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,complements,-,b0cz6t9152,61,2,0.03278689,2.89,5.78,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6405,2025-09-05,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,substitutes,-,b0cz6t9152,21,1,0.04761905,2.36,2.36,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6406,2025-08-30,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,617,4,0.00648298,2.6,10.4,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6407,2025-08-31,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,616,8,0.01298701,2.6,20.8,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
